1787108486.9718084 [INFO] [launch]: All log files can be found below /home/m4/.ros/log/2026-08-18-20-01-26-969290-m4-6661
1787108486.9721930 [INFO] [launch]: Default logging verbosity is set to INFO
1787108487.0918589 [INFO] [rl_controller_hardware-1]: process started with pid [6713]
1787108487.0926020 [INFO] [tilt_controller_hardware-2]: process started with pid [6715]
1787108490.9038801 [tilt_controller_hardware-2] [INFO] [1787108490.903260410] [tilt_controller_hardware]: Starting TiltHardware node...
1787108640.7497394 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1787108640.7578194 [tilt_controller_hardware-2] [INFO] [1787108640.757442288] [tilt_controller_hardware]: tilt motor zeroed
1787108640.7581820 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108640.7621346 [tilt_controller_hardware-2] [INFO] [1787108640.761741285] [tilt_controller_hardware]: port closed !
1787108640.7624407 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108640.7916164 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7922058 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7923985 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7925229 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7926338 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7927368 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7928379 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7929366 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7930331 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7931287 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7932250 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7933204 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7934165 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7935112 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7936082 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7937050 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7940066 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7941353 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7942448 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7943480 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7944479 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7945836 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7946858 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7947841 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7948806 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7949760 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7951467 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7952521 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7953482 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7954435 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7957382 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7958786 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7959890 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7960906 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7961900 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7962875 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7963829 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7964792 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7965734 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7966685 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7967653 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7968643 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7969632 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7970614 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7971630 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7972631 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7973602 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7974572 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7975531 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7976520 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7977493 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7978489 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7979467 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7980452 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7981448 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7982426 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7983413 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7984397 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7985816 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7986829 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7987735 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7988670 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7989583 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7990451 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7991285 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7992120 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7992969 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7993808 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7994642 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7995505 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7996404 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7997310 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7998247 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7999163 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8000088 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8001003 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8001912 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8002830 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8003719 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8004620 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8005562 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8006437 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8008628 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8009584 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8010480 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8011339 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8012183 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8013051 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8013978 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8014879 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8015759 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8016598 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8017430 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8018279 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8019109 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8020067 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8021064 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8022053 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8023038 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8024023 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8025622 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8026831 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8027925 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8028982 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8030076 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8031142 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8032184 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8033235 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8034301 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8035357 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8036373 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8037357 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8038385 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8039417 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8040459 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8041518 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8042557 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8043602 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8044672 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8045733 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8046794 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8047864 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8048930 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8049977 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8051021 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8052073 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8053136 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8054197 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8055224 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8056283 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8057346 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8058374 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8059423 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.8060458 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.9224653 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1787108640.9440601 [ERROR] [tilt_controller_hardware-2]: process has died [pid 6715, exit code -2, cmd '/home/m4/ATMO_rl/atmo_ws/install/atmo/lib/atmo/tilt_controller_hardware --ros-args -r __node:=tilt_controller_hardware'].
1787108640.9488423 [ERROR] [rl_controller_hardware-1]: process has died [pid 6713, exit code -2, cmd '/home/m4/ATMO_rl/atmo_ws/install/atmo/lib/atmo/rl_controller_hardware --ros-args -r __node:=rl_controller_hardware'].
